F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\Core\ExxerAI.Domain\Operations\CancellationAwareResult.cs:82 | Class: CancellationAwareResult | Method: WrapCancellationAware | Return: Task<Result>
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\Infraestructure\ExxerAI.Api\Controllers\AgentsController.cs:238 | Class: AgentsController | Method: UpdateAgentConfiguration | Return: Task<ActionResult>
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\Infraestructure\ExxerAI.Api\Controllers\AgentsController.cs:320 | Class: AgentsController | Method: UpdateAgentStatus | Return: Task<ActionResult>
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\Infraestructure\ExxerAI.Api\Controllers\AgentsController.cs:399 | Class: AgentsController | Method: AssignTask | Return: Task<ActionResult>
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\Infraestructure\ExxerAI.Api\Controllers\AgentsController.cs:534 | Class: AgentsController | Method: DeleteAgent | Return: Task<ActionResult>
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\Infraestructure\ExxerAI.CLI\Program.cs:27 | Class: Program | Method: Main | Return: Task<int>
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\Infraestructure\ExxerAi.MCPServer\Components\Account\Pages\Login.razor:81 | Class: None | Method: LoginUser | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\Infraestructure\ExxerAi.MCPServer\Components\Account\Pages\Register.razor:69 | Class: None | Method: RegisterUser | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\Orchestration\ExxerAI.Aspire.AppHost\Program.cs:11 | Class: Program | Method: Main | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\Presentation\ExxerAI.UI\Components\Account\Pages\Login.razor:81 | Class: None | Method: LoginUser | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\Presentation\ExxerAI.UI\Components\Account\Pages\Register.razor:69 | Class: None | Method: RegisterUser | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\Presentation\ExxerAI.UI.Library\Identity\Account\Pages\Login.razor:81 | Class: None | Method: LoginUser | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\Presentation\ExxerAI.UI.Library\Identity\Account\Pages\Register.razor:69 | Class: None | Method: RegisterUser | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\AgentsControllerMissingEndpointsTests.cs:36 | Class: AssignTaskTests | Method: Should_ReturnNoContent_When_TaskAssignedSuccessfully | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\AgentsControllerMissingEndpointsTests.cs:54 | Class: AssignTaskTests | Method: Should_ReturnBadRequest_When_InvalidModelState | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\AgentsControllerMissingEndpointsTests.cs:74 | Class: AssignTaskTests | Method: Should_ReturnNotFound_When_AgentNotFound | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\AgentsControllerMissingEndpointsTests.cs:95 | Class: AssignTaskTests | Method: Should_ReturnBadRequest_When_AssignmentFails | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\AgentsControllerMissingEndpointsTests.cs:117 | Class: AssignTaskTests | Method: Should_HandleEmptyTaskId_When_EmptyGuidProvided | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\AgentsControllerMissingEndpointsTests.cs:134 | Class: AssignTaskTests | Method: Should_HandleMultipleValidationErrors_When_ModelStateInvalid | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\AgentsControllerMissingEndpointsTests.cs:154 | Class: AssignTaskTests | Method: Should_FilterEmptyErrorMessages_When_ModelStateHasEmptyErrors | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\AgentsControllerMissingEndpointsTests.cs:185 | Class: FindBestAgentForTaskTests | Method: Should_ReturnOkWithAgent_When_SuitableAgentFound | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\AgentsControllerMissingEndpointsTests.cs:215 | Class: FindBestAgentForTaskTests | Method: Should_ReturnNotFound_When_NoSuitableAgentFound | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Api.Tests\AgentsControllerMissingEndpointsTests.cs:239 | Class: FindBestAgentForTaskTests | Method: Should_HandleEmptyOrWhitespaceTaskType_When_InvalidTaskTypeProvided | Return: Task
